"id","active","azonosito","cim","legrand_e","szefo_szallitas_e","name","nev","belso_szallitas_e","szefo_e","sorrend","telepules","uzem_helyi_raktar_e","uzem_raktar_e"
"__export__.legrand_hely_01","True","legrand","Ipartelepi út. 14.","True","True","Legrand","Legrand Magyarország Villamossági Rendszerek Zrt","False","False","10","Szentes","False","False"
"__export__.legrand_hely_02","True","raktar","","False","False","Raktár","","False","False","20","","True","True"
"__export__.legrand_hely_03","True","termeles","","False","False","Termelés","","False","False","30","","False","True"
"__export__.legrand_hely_04","True","depo","Ipartelepi út. 22.","False","True","Szentes depó","SZEFO Zrt. Szentes depó","True","True","50","Szentes","False","True"
"__export__.legrand_hely_05","True","szentes","Szarvasi út 4.","False","False","Szentes üzem","SZEFO Zrt. Szentes","True","True","60","Szentes","False","True"
"__export__.legrand_hely_06","True","selejtraktar","","False","False","Selejtraktár","","False","False","70","","True","True"
"__export__.legrand_hely_07","True","hmvhely","Bocskai u. 10.","False","False","Hódmezővásárhely üzem","SZEFO Zrt. Hódmezővásárhely","True","True","200","Hódmezővásárhely","False","True"
"__export__.legrand_hely_08","True","berkert","Bérkert u. 8.","False","False","Szeged Bérkert üzem","SZEFO Zrt. Bérkert","True","True","210","Szeged","False","True"
"__export__.legrand_hely_09","True","mako","Návay L. tér 5-7.","False","False","Makó üzem","SZEFO Zrt. Makó","True","True","220","Makó","False","True"
"__export__.legrand_hely_10","True","oroshaza","Könd u. 76.","False","False","Orosháza üzem","SZEFO Zrt. Orosháza","True","True","230","Orosháza","False","True"
"__export__.legrand_hely_11","True","apatfalva","Templom u. 67.","False","False","Apátfalva üzem","SZEFO Zrt. Apátfalva","True","True","240","Apátfalva","False","True"
"__export__.legrand_hely_12","True","martely","Fő u. 45.","False","False","Mártély üzem","SZEFO Zrt. Mártély","True","True","250","Mártély","False","True"
"__export__.legrand_hely_13","True","selejt","Ipartelepi út. 22.","False","True","Szentes selejt","SZEFO Zrt. Szentes depó","True","True","310","Szentes","False","True"
"__export__.legrand_hely_14","True","leltar","","False","False","Készlethelyesbítés","Készlethelyesbítés","False","False","320","","False","True"
